App,Pid,Task
com.tencent.mm,-1,None
com.eg.android.AlipayGphone,-1,None
com.taobao.taobao,-1,None
com.jingdong.app.mall,-1,None
com.ss.android.ugc.aweme,-1,None
com.xunmeng.pinduoduo,-1,None
com.autonavi.minimap,-1,None
com.sankuai.meituan,-1,None
com.qiyi.video,-1,None
com.tencent.qqmusic,-1,None
com.tencent.qqlive,-1,None
com.tencent.mtt,-1,None
com.sina.weibo,-1,  * Task{98ade25 #464 type=standard A=10256:com.sina.weibo U=0 visible=false visibleRequested=false mode=fullscreen translucent=true sz=3},    * Hist  #2: ActivityRecord{125f19 u0 com.sina.weibo/.page.SearchResultActivity} t464},    * Hist  #1: ActivityRecord{5888a15 u0 com.sina.weibo/.page.SearchResultActivity} t464},    * Hist  #0: ActivityRecord{c0ad3c7 u0 com.sina.weibo/.VisitorMainTabActivity} t464}
com.baidu.searchbox,-1,None
com.netease.cloudmusic,-1,None
com.taobao.idlefish,-1,None
tv.danmaku.bili,-1,None
com.baidu.BaiduMap,-1,None
com.youku.phone,-1,None
com.baidu.netdisk,-1,None
com.tmri.app.main,-1,None
com.UCMobile,-1,None
com.tencent.tmgp.sgame,-1,None
com.tencent.androidqqmail,-1,None
com.chinamworld.main,-1,None
com.dianping.v1,-1,None
com.icbc,-1,None
ctrip.android.view,-1,None
com.alibaba.android.rimet,-1,None
me.ele,-1,None
,-1,  * Task{8066655 #1 type=home ?? U=0 visible=true visibleRequested=false mode=fullscreen translucent=false sz=1}
com.tencent.mm,-1,None
com.eg.android.AlipayGphone,-1,None
com.taobao.taobao,-1,None
com.jingdong.app.mall,-1,None
com.ss.android.ugc.aweme,-1,None
com.xunmeng.pinduoduo,-1,None
com.autonavi.minimap,-1,None
com.sankuai.meituan,-1,None
com.qiyi.video,-1,None
com.tencent.qqmusic,-1,None
com.tencent.qqlive,-1,None
com.tencent.mtt,-1,None
com.sina.weibo,-1,  * Task{98ade25 #464 type=standard A=10256:com.sina.weibo U=0 visible=false visibleRequested=false mode=fullscreen translucent=true sz=3},    * Hist  #2: ActivityRecord{125f19 u0 com.sina.weibo/.page.SearchResultActivity} t464},    * Hist  #1: ActivityRecord{5888a15 u0 com.sina.weibo/.page.SearchResultActivity} t464},    * Hist  #0: ActivityRecord{c0ad3c7 u0 com.sina.weibo/.VisitorMainTabActivity} t464}
com.baidu.searchbox,-1,None
com.netease.cloudmusic,-1,None
com.taobao.idlefish,-1,None
tv.danmaku.bili,-1,None
com.baidu.BaiduMap,-1,None
com.youku.phone,-1,None
com.baidu.netdisk,-1,None
com.tmri.app.main,-1,None
com.UCMobile,-1,None
com.tencent.tmgp.sgame,-1,None
com.tencent.androidqqmail,-1,None
com.chinamworld.main,-1,None
com.dianping.v1,-1,None
com.icbc,-1,None
ctrip.android.view,-1,None
com.alibaba.android.rimet,-1,None
me.ele,-1,None
,-1,  * Task{8066655 #1 type=home ?? U=0 visible=true visibleRequested=false mode=fullscreen translucent=false sz=1}

